AÑO;MES;PROVINCIA;VIVIENDAS_TURISTICAS;PLAZAS;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;8;Ourense;924;5009;5,42;0,34;
2023;8;Palencia;178;1043;5,86;0,16;
2023;8;Pontevedra;7904;42073;5,32;1,49;
2023;8;Salamanca;1192;6080;5,1;0,5;
2023;8;Santa Cruz de Tenerife;20314;84341;4,15;3,78;
2023;8;Segovia;768;5654;7,36;0,65;
2023;8;Sevilla;6499;28949;4,45;0,71;
2023;8;Soria;386;2423;6,28;0,53;
2023;8;Tarragona;12898;74532;5,78;2,33;
2023;8;Teruel;682;3875;5,68;0,6;
2023;8;Toledo;1290;7928;6,15;0,29;
2023;8;Valencia/València;13355;63868;4,78;0,9;
2023;8;Valladolid;507;2450;4,83;0,17;
2023;8;Zamora;455;2615;5,75;0,3;
2023;8;Zaragoza;993;4655;4,69;0,19;
2023;8;Ávila;1121;7063;6,3;0,71;
